Restaurant name,Restaurants url,Address,bhdlf,Cuisines,xnmdg,bhdlf2,xnmdg3,no. of review,bhpnc,review URL,Review 1,Review food 1,ewmdv_URL5,Review 2,Review food 2,Latlng
18. Colony,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8571637-Reviews-Colony-Singapore.html,7 Raffles Avenue Ritz Carlton Millenia Singapore The Ritz-Carlton|Millenia|Singapore 039799 Singapore,Open Now,Asian|Singaporean,Open Now,$$$$,Asian|Singaporean,"2,640 reviews",Menu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d8571637-r744984033-Colony-Singapore.html,“Excellent Seafood|Sushi & Sashimi|Laksa|Cheeses|& Service”,Laksa,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d8571637-r826268106-Colony-Singapore.html,“Generous top ups on the champagne and cocktails|recommend the Laksa|the Lob...”,Laksa,1.29071831101807|103.860047263796
19. Waterfall Ristorante Italiano,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3952172-Reviews-Waterfall_Ristorante_Italiano-Singapore.html,22 Orange Grove Road Shangri-La Hotel Garden Wing|Shangri-La Hotel|Singapore 258350 Singapore,Closed Now,Italian|Mediterranean,Italian|Mediterranean,$$ - $$$,$$ - $$$,"1,093 reviews",Menu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d3952172-r816365812-Waterfall_Ristorante_Italiano-Singapore.html,"“... been to Italy before ,desserts tiramisu was finger licking good |the ser...”",tiramisu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d3952172-r781300727-Waterfall_Ristorante_Italiano-Singapore.html,“i love carbonara”,carbonara,1.3112474084414|103.826756760766
20. Summer Pavilion,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d796940-Reviews-Summer_Pavilion-Singapore.html,7 Raffles Avenue Ritz Carlton Millenia Singapore The Ritz-Carlton|Singapore 039799 Singapore,Closed Now,Chinese|Asian,Chinese|Asian,$$$$,$$$$,954 reviews,,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d796940-r828522397-Summer_Pavilion-Singapore.html,“We love their iberico pork|coconut chicken soup|smoked tea leaves duck and...”,duck,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d796940-r826178314-Summer_Pavilion-Singapore.html,“Fried rice was excellent and with generous portions of crab meat as well.”,Fried rice,1.29071831101807|103.860047263796
Red Sparrow,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13958454-Reviews-Red_Sparrow-Singapore.html,Blk 11 Dempsey Road #01-18|Singapore 249673 Singapore,Closes in 8 min,Asian|Vietnamese,Asian|Vietnamese,$$ - $$$,$$ - $$$,371 reviews,Menu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d13958454-r772995656-Red_Sparrow-Singapore.html,“Great Food |especially the papaya salad comes with big grilled prawns .”,prawns,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d13958454-r770086209-Red_Sparrow-Singapore.html,“We just had some amazing summer rolls and pho at Red Sparrow.Would definitely...”,pho,1.3041197981505|103.810112601727
21. Shivam Restaurant,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d15223340-Reviews-Shivam_Restaurant-Singapore.html,87 Syed Alwi Road|Singapore 207666 Singapore,Open Now,Indian|Asian,Open Now,$$ - $$$,Indian|Asian,175 reviews,Menu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d15223340-r832066843-Shivam_Restaurant-Singapore.html,“Tasty Indian Vegetarian food”,,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d15223340-r831981340-Shivam_Restaurant-Singapore.html,“Good Indian Food”,,1.30918623748308|103.855733575237
22. Dolce Vita,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d948962-Reviews-Dolce_Vita-Singapore.html,5 Raffles Avenue|Marina Square|Singapore 039797 Singapore,Closed Now,Italian|European,Italian|European,$$$$,$$$$,830 reviews,,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d948962-r827078708-Dolce_Vita-Singapore.html,“... w/ Pumpkin Cream - Braised Beef Cheek - Banana Pecan Nut dessert All the ...”,Beef,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d948962-r816941216-Dolce_Vita-Singapore.html,“I recommend the risotto with white truffle|available this season.”,risotto,1.29066059179026|103.858323976383
23. Oscar's,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1109005-Reviews-Oscar_s-Singapore.html,2 Temasek Boulevard Conrad Centennial|Lobby Level|Singapore 038982 Singapore,Open Now,Singaporean|International,Open Now,$$ - $$$,Singaporean|International,"2,035 reviews",Menu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1109005-r828258118-Oscar_s-Singapore.html,“... ice cream with freshly made waffles and loved the mini cakes as well!”,cakes,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1109005-r813845313-Oscar_s-Singapore.html,“... pork belly|seafood platter|Clams and Chorizo and Roasted Striploin.”,Clams,1.29352504746137|103.858774748555
24. Merci Marcel Club Street,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d15624938-Reviews-Merci_Marcel_Club_Street-Singapore.html,9 Club Street|Singapore 069404 Singapore,Open Now,French|European,Open Now,$$ - $$$,French|European,183 reviews,Menu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d15624938-r787701556-Merci_Marcel_Club_Street-Singapore.html,“Just a little disappointed with my truffle fries - I did not taste the truffl...”,truffle,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d15624938-r785829077-Merci_Marcel_Club_Street-Singapore.html,“The pizza with duck breast and grapes was fantastic too!”,duck breast,1.28256750720869|103.847120343197
25. Ginett Restaurant & Wine Bar,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d12159080-Reviews-Ginett_Restaurant_Wine_Bar-Singapore.html,200 Middle Road Hotel G Singapore|Singapore 188980 Singapore,Open Now,French|Bar,Open Now,$$ - $$$,French|Bar,"1,080 reviews",Menu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d12159080-r744073237-Ginett_Restaurant_Wine_Bar-Singapore.html,“The profiteroles are phenomenal”,profiteroles,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d12159080-r824424999-Ginett_Restaurant_Wine_Bar-Singapore.html,“... their cheese platter |the beef tartare was amazing but the star of the n...”,beef tartare,1.30092960029232|103.851518859038
Clinton St. Baking Company & Restaurant,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d9863795-Reviews-Clinton_St_Baking_Company_Restaurant-Singapore.html,31 Purvis Street|Singapore 188608 Singapore,Open Now,American|Cafe,Open Now,$$ - $$$,American|Cafe,524 reviews,Menu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d9863795-r779227451-Clinton_St_Baking_Company_Restaurant-Singapore.html,“... (and I do!) other menu items are good too|the eggs Benedict was spot on!”,eggs Benedict,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d9863795-r714964409-Clinton_St_Baking_Company_Restaurant-Singapore.html,“Eggs Benedict and Spanish Scramble were ordered along with drinks.”,Eggs Benedict,1.29632360061568|103.855127958906
26. Merci Marcel Orchard,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d19073505-Reviews-Merci_Marcel_Orchard-Singapore.html,390 Orchard Road Palais Renaissance 01-03 to 04 Palais Renaissance|Singapore 238871 Singapore,Open Now,French|Cafe,Open Now,$$ - $$$,French|Cafe,190 reviews,Menu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d19073505-r779093119-Merci_Marcel_Orchard-Singapore.html,“I love the salad and croissant.”,salad,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d19073505-r768504481-Merci_Marcel_Orchard-Singapore.html,“... we chose the Rosemary Infused Chicken Breast and Smoked Haddock Salad.”,Salad,1.30665484543191|103.829588045188
27. Fu Lin Men Chinese Restaurant (SRC),https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d15608624-Reviews-Fu_Lin_Men_Chinese_Restaurant_SRC-Singapore.html,B Connaught Drive|S179682 Level 2|Singapore Recreation Club|Singapore 179682 Singapore,Closes in 8 min,Chinese|Asian,Chinese|Asian,$$ - $$$,$$ - $$$,188 reviews,Menu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d15608624-r776724845-Fu_Lin_Men_Chinese_Restaurant_SRC-Singapore.html,“Best Peking Duck|Great food|Good Service”,Duck,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d15608624-r775433706-Fu_Lin_Men_Chinese_Restaurant_SRC-Singapore.html,“Delicious food and nice ambience”,Delicious food,1.29211430870635|103.853707080302
28. Beast & Butterflies,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d10453273-Reviews-Beast_Butterflies-Singapore.html,90 Robertson Quay|Singapore 238259 Singapore,Open Now,Asian|Fusion,Open Now,$$ - $$$,Asian|Fusion,860 reviews,Menu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d10453273-r787554553-Beast_Butterflies-Singapore.html,“... pork knuckle was given an Asian twist.”,twist,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d10453273-r774497668-Beast_Butterflies-Singapore.html,“Relaxing wine and oysters”,oysters,1.29083412595769|103.837280353189
29. Cherry Garden,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1127934-Reviews-Cherry_Garden-Singapore.html,5 Raffles Avenue|Marina Square|Singapore 039797 Singapore,Closed Now,Chinese|Asian,Chinese|Asian,$$$$,$$$$,786 reviews,,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1127934-r823788039-Cherry_Garden-Singapore.html,“The food was fantastic|especially the Peking Duck! Thank you so much!”,Duck,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d1127934-r785265385-Cherry_Garden-Singapore.html,“We had the soon hock fish HK style|Peking duck|soft shell crab and asparagus.”,duck,1.29066059179026|103.858323976383
30. Melt Cafe,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d785219-Reviews-Melt_Cafe-Singapore.html,5 Raffles Avenue|Marina Square|Singapore 039797 Singapore,Closed Now,International,International,$$ - $$$,$$ - $$$,"1,906 reviews",,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d785219-r824987818-Melt_Cafe-Singapore.html,“Laksa|Briyani|Grill Pork Jowl and its...”,Laksa,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d785219-r822709171-Melt_Cafe-Singapore.html,“... - esp the lobsters|clams and oysters.”,clams,1.29066059179026|103.858323976383
NAMI Restaurant and Bar,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d12562760-Reviews-NAMI_Restaurant_and_Bar-Singapore.html,22 Orange Grove Road|Shangri-La Hotel Tower Wing|Lobby Level|Singapore 258350 Singapore,Closed Now,Japanese|Sushi,Japanese|Sushi,$$$$,$$$$,143 reviews,Menu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d12562760-r767759041-NAMI_Restaurant_and_Bar-Singapore.html,“... and Ikura rice stuffed back into th...”,rice,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d12562760-r766735335-NAMI_Restaurant_and_Bar-Singapore.html,“... in the Japanese cuisine|was able t...”,Japanese cuisine,1.3112474084414|103.826756760766
Waterfall Ristorante Italiano,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3952172-Reviews-Waterfall_Ristorante_Italiano-Singapore.html,22 Orange Grove Road Shangri-La Hotel Garden Wing|Shangri-La Hotel|Singapore 258350 Singapore,Closed Now,Italian|Mediterranean,Italian|Mediterranean,$$ - $$$,$$ - $$$,"1,093 reviews",Menu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d3952172-r816365812-Waterfall_Ristorante_Italiano-Singapore.html,"“... been to Italy before ,desserts tiramisu was finger licking good |the ser...”",tiramisu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d3952172-r781300727-Waterfall_Ristorante_Italiano-Singapore.html,“i love carbonara”,carbonara,1.3112474084414|103.826756760766
31. Lobby Lounge at Conrad Centennial Singapore,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d6953942-Reviews-Lobby_Lounge_at_Conrad_Centennial_Singapore-Singapore.html,2 Temasek Boulevard Conrad Centennial Singapore|Singapore 038982 Singapore,Open Now,Wine Bar|Singaporean,Open Now,$$ - $$$,Wine Bar|Singaporean,548 reviews,Menu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d6953942-r824077098-Lobby_Lounge_at_Conrad_Centennial_Singapore-Singapore.html,“Came here with my 5 year old for the Christmas themed high tea set|the cakes...”,cakes,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d6953942-r822148765-Lobby_Lounge_at_Conrad_Centennial_Singapore-Singapore.html,“... there are more sweet items than savoury so the cakes are a little too many.”,cakes,1.29352504746137|103.858774748555
32. Origin Grill,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13355758-Reviews-Origin_Grill-Singapore.html,22 Orange Grove Road Shangri-La Hotel Tower Wing|Lobby Level|Singapore 258350 Singapore,Closed Now,European|Contemporary,European|Contemporary,$$$$,$$$$,717 reviews,Menu,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d13355758-r816313308-Origin_Grill-Singapore.html,“... followed by the beautifully seared Hokkaido scallops in smoked butter.”,scallops,https://www.tripadvisor.com.sg/ShowUserReviews-g294265-d13355758-r816106882-Origin_Grill-Singapore.html,“There’s a beauty in the precise harmony of flavors and serious wine pairing”,wine pairing,1.3112474084414|103.826756760766
