Name,Url,Cuisines,Review_no,Price_range,Address,Phone_no.,Operating_hours,Rating,Image_url,Area,Latlng
Yellow Pot Tanjong Pagar,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d14173307-Reviews-Yellow_Pot_Tanjong_Pagar-Singapore.html,"Chinese,Asian,Vegetarian Friendly",106,$$,"83 Duxton Road Six Senses Duxton Duxton Reserve, Singapore 089540",6569141428,"{""Sunday"":[""1200-1430"",""1730-2230""],""Monday"":[""1200-1430"",""1730-2230""],""Tuesday"":[""1200-1430"",""1730-2230""],""Wednesday"":[""1200-1430"",""1730-2230""],""Thursday"":[""1200-1430"",""1730-2230""],""Friday"":[""1200-1430"",""1730-2230""],""Saturday"":[""1200-1430"",""1730-2230""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-s/1c/88/18/2d/welcome-to-yellow-pot.jpg,Tanjong Pagar,"1.27887034677386,103.843187857264"
Tanjong Pagar Market And Food Centre,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d968483-Reviews-Tanjong_Pagar_Market_And_Food_Centre-Singapore.html,"Chinese,Asian,Singaporean",84,$,"6 Tanjong Pagar Plaza, Singapore 081006",658010278,"{""Sunday"":[""1100-2200""],""Monday"":[""1100-2200""],""Tuesday"":[""1100-2200""],""Wednesday"":[""1100-2200""],""Thursday"":[""1100-2200""],""Friday"":[""1100-2200""],""Saturday"":[""1100-2200""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/1a/42/10/32/spacious.jpg,Tanjong Pagar,"1.27661464758769,103.843167023188"
ABC Brickworks Market & Food Centre,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d7322828-Reviews-ABC_Brickworks_Market_Food_Centre-Singapore.html,"Asian,Vegetarian Friendly",73,$,"6 Jalan Bukit Merah, Singapore 150006",,"{""Sunday"":[""0000-2359""],""Monday"":[""0000-2359""],""Tuesday"":[""0000-2359""],""Wednesday"":[""0000-2359""],""Thursday"":[""0000-2359""],""Friday"":[""0000-2359""],""Saturday"":[""0000-2359""]}",4,https://media-cdn.tripadvisor.com/media/photo-p/07/ef/86/f9/value-for-money-power.jpg,Bukit Merah,"1.28688297261475,103.808131274161"
The Bakery Chef,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d7790082-Reviews-The_Bakery_Chef-Singapore.html,"Dessert,Cafe",16,$$,"Blk 161 Bukit Merah Central #01-3711, Singapore 150161",6562739211,"{""Sunday"":[""1000-2100""],""Monday"":[""1000-1900""],""Tuesday"":[""1000-1900""],""Wednesday"":[""1000-1900""],""Thursday"":[""1000-1900""],""Friday"":[""1000-1900""],""Saturday"":[""1000-2100""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/0f/bc/cf/8c/photo3jpg.jpg,Bukit Merah,"1.28391229397444,103.816006111441"
Ru Yi Yuan Vegetarian Food,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8011558-Reviews-Ru_Yi_Yuan_Vegetarian_Food-Singapore.html#REVIEWS,Chinese,10,$,"80 Redhill Lane, Stall 4, Singapore 150080",6597124621,"{""Sunday"":[""1000-2100""],""Monday"":[""1000-2100""],""Tuesday"":[""1000-2100""],""Wednesday"":[""1000-2100""],""Thursday"":[""1000-2100""],""Friday"":[""1000-2100""],""Saturday"":[""1000-2100""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/1a/47/7d/eb/prepare-to-wait-for-your.jpg,Bukit Merah,"1.28780725542023,103.818781986583"
Niggi's The Cheese Prata Shop,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3738568-Reviews-Niggi_s_The_Cheese_Prata_Shop-Singapore.html,"Asian,Halal",28,$,"18 Clementi Road, Singapore 129747",6568722577,"{""Sunday"":[""1100-2100""],""Monday"":[""1100-2100""],""Tuesday"":[""1100-2100""],""Wednesday"":[""1100-2100""],""Thursday"":[""1100-2100""],""Friday"":[""1100-2100""],""Saturday"":[""1100-2100""]}",4.5,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d16708408-Reviews-Hammee_s-Singapore.html,Queenstown,"1.29282825477585,103.768721349879"
Hammee's,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d16708408-Reviews-Hammee_s-Singapore.html,"Quick Bites,American,Fast food",11,$,"31 Commonwealth Crescent Market #02-93, Singapore 149644",6598188014,"{""Sunday"":[""1100-1700""],""Monday"":[],""Tuesday"":[""1100-1700""],""Wednesday"":[""1100-1700""],""Thursday"":[""1100-1700""],""Friday"":[""1100-1700""],""Saturday"":[""1100-1700""]}",3.5,https://media-cdn.tripadvisor.com/media/photo-s/03/60/2d/88/niggi-s-the-cheese-prata.jpg,Queenstown,"1.30690013206335,103.800367271218"
Michael's Bar & Grill,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d12481467-Reviews-Michael_s_Bar_Grill-Singapore.html,"Italian,Mexican,American",35,$$,"32 South Buona Vista Road, Singapore 118161",6593360610,"{""Sunday"":[""1100-2100""],""Monday"":[""1100-2100""],""Tuesday"":[""1100-2100""],""Wednesday"":[""1100-2100""],""Thursday"":[""1100-2100""],""Friday"":[""1100-2100""],""Saturday"":[""1100-2100""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-p/11/08/7a/89/restaurant-mural.jpg,Queenstown,"1.28064973680676,103.786966059045"
Lawry's The Prime Rib,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d867247-Reviews-Lawry_s_The_Prime_Rib-Singapore.html,"American,Steakhouse,Gluten Free Options",1551,$$$,"333A Orchard Road Mandarin Gallery #04-01/31 Mandarin Gallery, Singapore 238897",6568363333,"{""Sunday"":[""1000-2000""],""Monday"":[""1000-2000""],""Tuesday"":[""1000-2000""],""Wednesday"":[""1000-2000""],""Thursday"":[""1000-2000""],""Friday"":[""1000-2000""],""Saturday"":[""1000-2000""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-s/0a/a9/6f/f8/lawry-s-main-dining-hall.jpg,Tiong Bahru,"1.30206450556085,103.836340953748"
Oscar's,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1109005-Reviews-Oscar_s-Singapore.html,"International,Singaporean,Vegetarian Friendly",2063,$$,"2 Temasek Boulevard Conrad Centennial, Lobby Level, Singapore 038982",6564327481,"{""Sunday"":[""1000-2000""],""Monday"":[""1000-2000""],""Tuesday"":[""1000-2000""],""Wednesday"":[""1000-2000""],""Thursday"":[""1000-2000""],""Friday"":[""1000-2000""],""Saturday"":[""1000-2000""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-s/16/f3/bd/01/oscar-s-interior.jpg,Tiong Bahru,"1.29349139796574,103.858779513419"
Grand Shanghai Restaurant,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1145149-Reviews-Grand_Shanghai_Restaurant-Singapore.html,"Chinese,Asian,Shanghai",638,$$,"390 Havelock Road King's Centre, Singapore 169662",6568366866,"{""Sunday"":[""1000-2000""],""Monday"":[""1000-2000""],""Tuesday"":[""1000-2000""],""Wednesday"":[""1000-2000""],""Thursday"":[""1000-2000""],""Friday"":[""1000-2000""],""Saturday"":[""1000-2000""]}",5,https://media-cdn.tripadvisor.com/media/photo-s/19/9f/fe/46/grand-shanghai-main-dining.jpg,Tiong Bahru,"1.28959899305939,103.83576285274"
Naked Finn,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d3958828-Reviews-Naked_Finn-Singapore.html,Seafood,113,$$,"41 Malan Road Gillman Barracks, Singapore 109454",6566940807,"{""Sunday"":[],""Monday"":[""1800-2200""],""Tuesday"":[""1800-2200""],""Wednesday"":[""1800-2200""],""Thursday"":[""1800-2200""],""Friday"":[""1800-2000"",""2030-2230""],""Saturday"":[""1800-2000"",""2030-2230""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/0b/25/46/f8/lobster-roll.jpg,Telok Blangah,"1.27530361542823,103.80419401406"
UNA at The Alkaff Mansion,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d17666128-Reviews-UNA_at_The_Alkaff_Mansion-Singapore.html,"European,Spanish,Grill",72,$$,"10 Telok Blangah Green Alkaff Mansion Level 2, Singapore 109178",6581268844,"{""Sunday"":[""1130-1430"",""1800-2230""],""Monday"":[""1800-2230""],""Tuesday"":[""1800-2230""],""Wednesday"":[""1800-2230""],""Thursday"":[""1800-2230""],""Friday"":[""1800-2230""],""Saturday"":[""1130-1430"",""1800-2230""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/1a/45/aa/e3/main-dining-hall.jpg,Telok Blangah,"1.27881728108982,103.813181596811"
Wildseed Cafe at The Alkaff Mansion,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d17374888-Reviews-Wildseed_Cafe_at_The_Alkaff_Mansion-Singapore.html,"Cafe,Vegetarian Friendly",142,$$,"10 Telok Blangah Green Alkaff Mansion Level 1, Singapore 109178",6581268484,"{""Sunday"":[""0800-1600""],""Monday"":[""0800-1600""],""Tuesday"":[""0800-1600""],""Wednesday"":[""0800-1600""],""Thursday"":[""0800-1600""],""Friday"":[""0800-1600""],""Saturday"":[""0800-1600""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/1a/45/f6/1d/garden-conservatory.jpg,Telok Blangah,"1.27881728108982,103.813181596811"
Brotzeit Vivocity,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d919095-Reviews-Brotzeit_Vivocity-Singapore.html,"GermanBar,European",587,$$,"1 Harbourfront Walk Vivo City VivoCity #01-149/151, Singapore 098585",6562728815,"{""Sunday"":[""1100-2230""],""Monday"":[""1100-2230""],""Tuesday"":[""1100-2230""],""Wednesday"":[""1100-2230""],""Thursday"":[""1100-2230""],""Friday"":[""1100-2230""],""Saturday"":[""1100-2230""]}",4,https://media-cdn.tripadvisor.com/media/photo-f/1b/b4/2e/a5/alfresco-seating.jpg,Habourfront,"1.26427434061441,103.822596222416"
Elemen,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13971720-Reviews-Elemen-Singapore.html,"AsianHealthy,Vegetarian Friendly",22,$$,"1 Maritime Square Harbourfront Centre Harbourfront Centre, Singapore 099253",6569049568,"{""Sunday"":[""1100-2200""],""Monday"":[""1100-2200""],""Tuesday"":[""1100-2200""],""Wednesday"":[""1100-2200""],""Thursday"":[""1100-2200""],""Friday"":[""1100-2200""],""Saturday"":[""1100-2200""]}",4,https://media-cdn.tripadvisor.com/media/photo-p/15/6f/cb/c6/photo2jpg.jpg,Habourfront,"1.26401293230767,103.82005101011"
Fuego Bar & Kitchen Singapore,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d15768506-Reviews-Fuego_Bar_Kitchen_Singapore-Singapore.html,"Mexican,Bar",43,$$,"438 B Alexandra Road #01-01 Alexandra Technopark, Singapore 119968",,"{""Sunday"":[],""Monday"":[""0730-2200""],""Tuesday"":[""0730-2200""],""Wednesday"":[""0730-2200""],""Thursday"":[""0730-2200""],""Friday"":[""0730-2200""],""Saturday"":[""1700-2200""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-s/17/e2/aa/3f/photo1jpg.jpg,Habourfront,"1.27738945595844,103.799443153902"
Pasir Panjang Food Centre,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d10191819-Reviews-Pasir_Panjang_Food_Centre-Singapore.html,"Barbecue,Asian,Singaporean",39,$,"121 Pasir Panjang Road, Singapore 118543",,"{""Sunday"":[""1000-2100""],""Monday"":[""1000-2100""],""Tuesday"":[""1000-2100""],""Wednesday"":[""1000-2100""],""Thursday"":[""1000-2100""],""Friday"":[""1000-2100""],""Saturday"":[""1000-2100""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/0d/fa/47/58/photo1jpg.jpg,Pasir Panjang,"1.27569879325348,103.791619964293"
Manhill Restaurant,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1127890-Reviews-Manhill_Restaurant-Singapore.html,"Chinese,Asian,Cantonese",91,$$,"99 Pasir Panjang Road, Singapore 118517",6564746835,"{""Sunday"":[""1130-1345"",""1730-2145""],""Monday"":[""1130-1345"",""1730-2145""],""Tuesday"":[""1130-1345"",""1730-2145""],""Wednesday"":[""1130-1345"",""1730-2145""],""Thursday"":[""1130-1345"",""1730-2145""],""Friday"":[""1130-1345"",""1730-2145""],""Saturday"":[""1130-1345"",""1730-2145""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/15/fb/e9/9b/img-20190105-183216-largejpg.jpg,Pasir Panjang,"1.27500096396182,103.794893293401"
99 Buona Vista Kitchen,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8036116-Reviews-99_Buona_Vista_Kitchen-Singapore.html,"Chinese,Asian,Vegetarian Friendly",33,$,"22 South Buona Vista Road, Singapore 118156",6564731719,"{""Sunday"":[""1030-2200""],""Monday"":[""1030-2200""],""Tuesday"":[""1030-2200""],""Wednesday"":[""1030-2200""],""Thursday"":[""1030-2200""],""Friday"":[""1030-2200""],""Saturday"":[""1030-2200""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-s/0d/5c/64/e3/99-buona-vista-kitchen.jpg,Pasir Panjang,"1.28042966964325,103.786809809299"
Clementi Goreng Pisang,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d19081484-Reviews-Clementi_Goreng_Pisang-Singapore.html,Chinese,1,$,"448 Clementi Avenue 3 #01-17, Singapore 120448",6597896428,"{""Sunday"":[""1000-2200""],""Monday"":[""1000-2200""],""Tuesday"":[""1000-2200""],""Wednesday"":[""1000-2200""],""Thursday"":[""1000-2200""],""Friday"":[""1000-2200""],""Saturday"":[""1000-2200""]}",3,https://media-cdn.tripadvisor.com/media/photo-s/1c/de/19/3f/caption.jpg,Clementi New Town,"1.31331969319644,103.764517192874"
Soup Restaurant Clementi Mall,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d5430762-Reviews-Soup_Restaurant_Clementi_Mall-Singapore.html,"Chinese,Asian,Singaporean",29,$$,"3155 Commonwealth Avenue West The Clementi Mall #03-62/63 The Clementi Mall, Singapore 129588",6566593688,"{""Sunday"":[""1130-2200""],""Monday"":[""1130-2200""],""Tuesday"":[""1130-2200""],""Wednesday"":[""1130-2200""],""Thursday"":[""1130-2200""],""Friday"":[""1130-2200""],""Saturday"":[""1130-2200""]}",3,https://media-cdn.tripadvisor.com/media/photo-s/17/e7/60/54/photo2jpg.jpg,Clementi New Town,"1.31555354277949,103.764596439304"
Crystal Jade Hong Kong Kitchen (Clementi Mall),https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d12599804-Reviews-Crystal_Jade_Hong_Kong_Kitchen_Clementi_Mall-Singapore.html,"Chinese,Asian",17,$$,"3155 Commonwealth Avenue West, The Clementi Mall #03-54 03-54/55 The Clementi Mall, Singapore 129588",6566599215,"{""Sunday"":[""1030-2200""],""Monday"":[""1100-2200""],""Tuesday"":[""1100-2200""],""Wednesday"":[""1100-2200""],""Thursday"":[""1100-2200""],""Friday"":[""1100-2200""],""Saturday"":[""1030-2200""]}",3.5,https://media-cdn.tripadvisor.com/media/photo-s/11/4f/7a/a7/sour-pork-bao.jpg,Clementi New Town,"1.31555354277949,103.764596439304"
Oscar's,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1109005-Reviews-Oscar_s-Singapore.html,"International,Singaporean,Vegetarian Friendly",2066,$$,"2 Temasek Boulevard Conrad Centennial, Lobby Level, Singapore 038982",6564327481,"{""Sunday"":[""0700-2230""],""Monday"":[""0700-2230""],""Tuesday"":[""0700-2230""],""Wednesday"":[""0700-2230""],""Thursday"":[""0700-2230""],""Friday"":[""0700-2230""],""Saturday"":[""0700-2230""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-s/16/f3/bd/01/oscar-s-interior.jpg,Beach Road,"1.29349139796574,103.858779513419"
LAVO Italian Restaurant & Rooftop Bar,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13402250-Reviews-LAVO_Italian_Restaurant_Rooftop_Bar-Singapore.html,"Italian,European,Healthy",1585,$$$,"10 Bayfront Avenue Marina Bay Sands Marina Bay Sands,, Singapore 018956",6566888591,"{""Sunday"":[""1200-0000""],""Monday"":[""1030-0200""],""Tuesday"":[""1030-0200""],""Wednesday"":[""1030-0200""],""Thursday"":[""1030-0200""],""Friday"":[""1030-0200""],""Saturday"":[""1030-0200""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-f/11/f8/f4/5e/inside-lavo-italian-restaurant.jpg,Beach Road,"1.28257452719679,103.858562162091"
The Line,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d781864-Reviews-The_Line-Singapore.html,"Seafood,International,Asian",3140,$$,"22 Orange Grove Road Shangri-La Hotel Tower Wing, Lower Lobby, Singapore 258350",6562134398,"{""Sunday"":[""0700-1200"",""1230-1430"",""1800-2200""],""Monday"":[""0700-1200"",""1800-1000""],""Tuesday"":[""0700-1200"",""1800-1000""],""Wednesday"":[""0700-1200"",""1800-1000""],""Thursday"":[""0700-1200"",""1800-1000""],""Friday"":[""0700-1200"",""1800-1000""],""Saturday"":[""0700-1200"",""1230-1430"",""1800-2200""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-f/15/b1/be/96/serving-only-the-freshest.jpg,Beach Road,"1.31122438238089,103.826788133417"
Ginett Restaurant & Wine Bar,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d12159080-Reviews-Ginett_Restaurant_Wine_Bar-Singapore.html,"French,Bar,European",1087,$$,"200 Middle Road Hotel G Singapore, Singapore 188980",6568097989,"{""Sunday"":[""1130-1030""],""Monday"":[""1130-1030""],""Tuesday"":[""1130-1030""],""Wednesday"":[""1130-1030""],""Thursday"":[""1130-1030""],""Friday"":[""1130-1030""],""Saturday"":[""1130-1030""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-s/12/2a/6a/87/ginett-restaurant-wine.jpg,Middle Road,"1.30091639714583,103.85150646656"
Artichoke,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1857445-Reviews-Artichoke-Singapore.html,"International,Mediterranean,Middle Eastern",374,$$,"161 Middle Road Sculpture Square, Singapore 188978",6563366949,"{""Sunday"":[""1130-1445""],""Monday"":[""1830-2145""],""Tuesday"":[""1830-2145""],""Wednesday"":[""1830-2145""],""Thursday"":[""1830-2145""],""Friday"":[""1830-2145""],""Saturday"":[""1130-1445"",""1830-2145""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/08/19/e5/cc/artichoke.jpg,Middle Road,"1.29979909673076,103.852010855683"
Pistachio Middle Eastern & Mediterranean Grill,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d10460729-Reviews-Pistachio_Middle_Eastern_Mediterranean_Grill-Singapore.html,"Mediterranean,GrillMiddle Eastern",487,$$,"501 Orchard Road Wheelock Place #02 -04/05 Wheelock Place, Singapore 238880",6562626400,"{""Sunday"":[""1130-1500"",""1700-2130""],""Monday"":[""1130-1500"",""1700-2130""],""Tuesday"":[""1130-1500"",""1700-2130""],""Wednesday"":[""1130-1500"",""1700-2130""],""Thursday"":[""1130-1500"",""1700-2130""],""Friday"":[""1130-1500"",""1700-2130""],""Saturday"":[""1130-1500"",""1700-2130""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-s/1b/b1/6e/ec/pistachio-middle-eastern.jpg,Middle Road,"1.30467628730252,103.830642027577"
Golden Mile Food Centre,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d9735073-Reviews-Golden_Mile_Food_Centre-Singapore.html,"Quick Bites,Asian,Singaporean",68,$,"505 Beach Road Golden Mile Food Centre, Singapore 199583",,"{""Sunday"":[""1000-2100""],""Monday"":[""1000-2100""],""Tuesday"":[""1000-2100""],""Wednesday"":[""1000-2100""],""Thursday"":[""1000-2100""],""Friday"":[""1000-2100""],""Saturday"":[""1000-2100""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/1a/41/8a/3b/the-am-pang-yong-tau.jpg,Golden Mile,"1.30314175320333,103.863877615334"
Golden Peony at Conrad Centennial Singapore,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d903929-Reviews-Golden_Peony_at_Conrad_Centennial_Singapore-Singapore.html,"Chinese,Asian,Cantonese",486,$$$,"2 Temasek Boulevard Condrad Hotels & Resorts, Singapore 038982",6564327482,"{""Sunday"":[""1130-1300"",""1330-1500"",""1830-1030""],""Monday"":[""1130-1430"",""1830-2230""],""Tuesday"":[""1130-1430"",""1830-2230""],""Wednesday"":[""1130-1430"",""1830-2230""],""Thursday"":[""1130-1430"",""1830-2230""],""Friday"":[""1130-1430"",""1830-2230""],""Saturday"":[""1130-1300"",""1330-1500"",""1830-1030""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-s/16/ee/9f/03/interior-of-golden-peony.jpg,Golden Mile,"1.29349139796574,103.858779513419"
