Name,Url,Cuisines,Review_no,Price_range,Address,Phone_no.,Operating_hours,Ratings,Image_url,Area
Pasir Panjang Food Centre,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d10191819-Reviews-Pasir_Panjang_Food_Centre-Singapore.html,"Barbecue,Asian,Singaporean",39,$,"121 Pasir Panjang Road, Singapore 118543 Singapore",,"{""Sunday"":[""1000-2100""],""Monday"":[""1000-2100""],""Tuesday"":[""1000-2100""],""Wednesday"":[""1000-2100""],""Thursday"":[""1000-2100""],""Friday"":[""1000-2100""],""Saturday"":[""1000-2100""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/0d/fa/47/58/photo1jpg.jpg,Pasir Panjang
Manhill Restaurant,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1127890-Reviews-Manhill_Restaurant-Singapore.html,"Chinese,Asian,Cantonese",91,$$,"99 Pasir Panjang Road, Singapore 118517 Singapore",6564746835,"{""Sunday"":[""1130-1345"",""1730-2145""],""Monday"":[""1130-1345"",""1730-2145""],""Tuesday"":[""1130-1345"",""1730-2145""],""Wednesday"":['1130-1345"",""1730-2145""],""Thursday"":[""1130-1345"",""1730-2145""],""Friday"":[""1130-1345"",""1730-2145""],""Saturday"":[""1130-1345"",""1730-2145""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/15/fb/e9/9b/img-20190105-183216-largejpg.jpg,Pasir Panjang
99 Buona Vista Kitchen,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d8036116-Reviews-99_Buona_Vista_Kitchen-Singapore.html,"Chinese,Asian,Vegetarian Friendly",33,$,"22 South Buona Vista Road, Singapore 118156 Singapore",6564731719,"{""Sunday"":[""1030-2200""],""Monday"":[""1030-2200""],""Tuesday"":[""1030-2200""],""Wednesday"":[""1030-2200""],""Thursday"":[""1030-2200""],""Friday"":[""1030-2200""],""Saturday"":[""1030-2200""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-s/0d/5c/64/e3/99-buona-vista-kitchen.jpg,Pasir Panjang
Clementi Goreng Pisang,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d19081484-Reviews-Clementi_Goreng_Pisang-Singapore.html,Chinese,1,$,"448 Clementi Avenue 3 #01-17, Singapore 120448 Singapore",6597896428,"{""Sunday"":[""1000-2200""],""Monday"":[""1000-2200""],""Tuesday"":[""1000-2200""],""Wednesday"":[""1000-2200""],""Thursday"":[""1000-2200""],""Friday"":[""1000-2200""],""Saturday"":[""1000-2200""]}",3,https://media-cdn.tripadvisor.com/media/photo-s/1c/de/19/3f/caption.jpg,Clementi New Town
Soup Restaurant Clementi Mall,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d5430762-Reviews-Soup_Restaurant_Clementi_Mall-Singapore.html,"Chinese,Asian,Singaporean",29,$$,"3155 Commonwealth Avenue West The Clementi Mall #03-62/63 The Clementi Mall, Singapore 129588 Singapore",6566593688,"{""Sunday"":[""1130-2200""],""Monday"":[""1130-2200""],""Tuesday"":[""1130-2200""],""Wednesday"":[""1130-2200""],""Thursday"":[""1130-2200""],""Friday"":[""1130-2200""],""Saturday"":[""1130-2200""]}",3,https://media-cdn.tripadvisor.com/media/photo-s/17/e7/60/54/photo2jpg.jpg,Clementi New Town
Crystal Jade Hong Kong Kitchen (Clementi Mall),https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d12599804-Reviews-Crystal_Jade_Hong_Kong_Kitchen_Clementi_Mall-Singapore.html,"Chinese,Asian",17,$$,"3155 Commonwealth Avenue West, The Clementi Mall #03-54 03-54/55 The Clementi Mall, Singapore 129588 Singapore",6566599215,"{""Sunday"":[""1030-2200""],""Monday"":[""1100-2200""],""Tuesday"":[""1100-2200""],""Wednesday"":[""1100-2200""],""Thursday"":[""1100-2200""],""Friday"":[""1100-2200""],""Saturday"":[""1030-2200""]}",3.5,https://media-cdn.tripadvisor.com/media/photo-s/11/4f/7a/a7/sour-pork-bao.jpg,Clementi New Town
Oscar's,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1109005-Reviews-Oscar_s-Singapore.html,"International,Singaporean,Vegetarian Friendly",2066,$$,"2 Temasek Boulevard Conrad Centennial, Lobby Level, Singapore 038982 Singapore",6564327481,"{""Sunday"":[""0700-2230""],""Monday"":[""0700-2230""],""Tuesday"":[""0700-2230""],""Wednesday"":[""0700-2230""],""Thursday"":[""0700-2230""],""Friday"":[""0700-2230""],""Saturday"":[""0700-2230""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-s/16/f3/bd/01/oscar-s-interior.jpg,Beach Road
LAVO Italian Restaurant & Rooftop Bar,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d13402250-Reviews-LAVO_Italian_Restaurant_Rooftop_Bar-Singapore.html,"Italian,European,Healthy",1585,$$$,"10 Bayfront Avenue Marina Bay Sands Marina Bay Sands,, Singapore 018956 Singapore",6566888591,"{""Sunday"":[""1200-0000""],""Monday"":[""1030-0200""],""Tuesday"":[""1030-0200""],""Wednesday"":[""1030-0200""],""Thursday"":[""1030-0200""],""Friday"":[""1030-0200""],""Saturday"":[""1030-0200""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-f/11/f8/f4/5e/inside-lavo-italian-restaurant.jpg,Beach Road
The Line,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d781864-Reviews-The_Line-Singapore.html,"Seafood,International,Asian",3140,$$,"22 Orange Grove Road Shangri-La Hotel Tower Wing, Lower Lobby, Singapore 258350 Singapore",6562134398,"{""Sunday"":[""0700-1200"",""1230-1430"",""1800-2200""],""Monday"":[""0700-1200"",""1800-1000""],""Tuesday"":[""0700-1200"",""1800-1000""],""Wednesday"":[""0700-1200"",""1800-1000""],""Thursday"":[""0700-1200"",""1800-1000""],""Friday"":[""0700-1200"",""1800-1000""],""Saturday"":[""0700-1200"",""1230-1430"",""1800-2200""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-f/15/b1/be/96/serving-only-the-freshest.jpg,Beach Road
Ginett Restaurant & Wine Bar,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d12159080-Reviews-Ginett_Restaurant_Wine_Bar-Singapore.html,"French,Bar,European",1087,$$,"200 Middle Road Hotel G Singapore, Singapore 188980 Singapore",6568097989,"{""Sunday"":[""1130-1030""],""Monday"":[""1130-1030""],""Tuesday"":[""1130-1030""],""Wednesday"":[""1130-1030""],""Thursday"":[""1130-1030""],""Friday"":[""1130-1030""],""Saturday"":[""1130-1030""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-s/12/2a/6a/87/ginett-restaurant-wine.jpg,Middle Road
Artichoke,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d1857445-Reviews-Artichoke-Singapore.html,"International,Mediterranean,Middle Eastern",374,$$,"161 Middle Road Sculpture Square, Singapore 188978 Singapore",6563366949,"{""Sunday"":[""1130-1445""],""Monday"":[""1830-2145""],""Tuesday"":[""1830-2145""],""Wednesday"":[""1830-2145""],""Thursday"":[""1830-2145""],""Friday"":[""1830-2145""],""Saturday"":[""1130-1445"",""1830-2145""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/08/19/e5/cc/artichoke.jpg,Middle Road
Pistachio Middle Eastern & Mediterranean Grill,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d10460729-Reviews-Pistachio_Middle_Eastern_Mediterranean_Grill-Singapore.html,"Mediterranean,GrillMiddle Eastern",487,$$,"501 Orchard Road Wheelock Place #02 -04/05 Wheelock Place, Singapore 238880 Singapore",6562626400,"{""Sunday"":[""1130-1500"",""1700-2130""],""Monday"":[""1130-1500"",""1700-2130""],""Tuesday"":[""1130-1500"",""1700-2130""],""Wednesday"":[""1130-1500"",""1700-2130""],""Thursday"":[""1130-1500"",""1700-2130""],""Friday"":[""1130-1500"",""1700-2130""],""Saturday"":[""1130-1500"",""1700-2130""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-s/1b/b1/6e/ec/pistachio-middle-eastern.jpg,Middle Road
Golden Mile Food Centre,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d9735073-Reviews-Golden_Mile_Food_Centre-Singapore.html,"Quick Bites,Asian,Singaporean",68,$,"505 Beach Road Golden Mile Food Centre, Singapore 199583 Singapore",,"{""Sunday"":[""1000-2100""],""Monday"":[""1000-2100""],""Tuesday"":[""1000-2100""],""Wednesday"":[""1000-2100""],""Thursday"":[""1000-2100""],""Friday"":[""1000-2100""],""Saturday"":[""1000-2100""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/1a/41/8a/3b/the-am-pang-yong-tau.jpg,Golden Mile
Golden Peony at Conrad Centennial Singapore,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d903929-Reviews-Golden_Peony_at_Conrad_Centennial_Singapore-Singapore.html,"Chinese,Asian,Cantonese",486,$$$,"2 Temasek Boulevard Condrad Hotels & Resorts, Singapore 038982 Singapore",6564327482,"{""Sunday"":[""1130-1300"",""1330-1500"",""1830-1030""],""Monday"":[""1130-1430"",""1830-2230""],""Tuesday"":[""1130-1430"",""1830-2230""],""Wednesday"":[""1130-1430"",""1830-2230""],""Thursday"":[""1130-1430"",""1830-2230""],""Friday"":[""1130-1430"",""1830-2230""],""Saturday"":[""1130-1300"",""1330-1500"",""1830-1030""]}",4.5,https://media-cdn.tripadvisor.com/media/photo-s/16/ee/9f/03/interior-of-golden-peony.jpg,Golden Mile
Diandin Leluk,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d806622-Reviews-Diandin_Leluk-Singapore.html,"Asian,Thai,Vegetarian Friendly",105,$$,"5001 Beach Road Golden Mile Complex Golden Mile Complex, Singapore 199588 Singapore",6562935101,"{""Sunday"":[""0000-2359""],""Monday"":[""0000-2359""],""Tuesday"":[""0000-2359""],""Wednesday"":[""0000-2359""],""Thursday"":[""0000-2359""],""Friday"":[""0000-2359""],""Saturday"":[""0000-2359""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/13/31/b5/43/yemek-baharatli.jpg,Golden Mile
Muthu's Curry - Little India,https://www.tripadvisor.com.sg/Restaurant_Review-g294265-d5425488-Reviews-Muthu_s_Curry_Little_India-Singapore.html,"Indian,Asian,Vegetarian Friendly",433,$$,"138 Race Course Road Race Course 138 #01-01, Singapore 218591 Singapore",6563921722,"{""Sunday"":[""1030-2230""],""Monday"":[""1030-2230""],""Tuesday"":[""1030-2230""],""Wednesday"":[""1030-2230""],""Thursday"":[""1030-2230""],""Friday"":[""1030-2230""],""Saturday"":[""1030-2230""]}",4,https://media-cdn.tripadvisor.com/media/photo-s/17/42/82/00/main-outlet.jpg,Little India
